,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
24,0.65625,0.65625,0.03125,0.34375,0.34375,0.90625,0.09375,0.65625,0.46875,0.96875,0.34375,0.53125,0.78125,0.09375,0.46875,0.71875,0.65625,0.09375,0.78125,0.15625,0.89141372144
25,0.90625,0.40625,0.28125,0.59375,0.09375,0.15625,0.34375,0.40625,0.71875,0.71875,0.59375,0.78125,0.03125,0.34375,0.71875,0.96875,0.90625,0.84375,0.53125,0.90625,0.77391114597
26,0.40625,0.90625,0.78125,0.09375,0.59375,0.65625,0.84375,0.90625,0.21875,0.21875,0.09375,0.28125,0.53125,0.84375,0.21875,0.46875,0.40625,0.34375,0.03125,0.40625,1.0035145818
27,0.28125,0.28125,0.15625,0.96875,0.21875,0.53125,0.71875,0.53125,0.84375,0.59375,0.71875,0.65625,0.40625,0.96875,0.34375,0.09375,0.53125,0.96875,0.15625,0.28125,0.79095701041
28,0.78125,0.78125,0.65625,0.46875,0.71875,0.03125,0.21875,0.03125,0.34375,0.09375,0.21875,0.15625,0.90625,0.46875,0.84375,0.59375,0.03125,0.46875,0.65625,0.78125,0.88667501593
29,0.53125,0.03125,0.90625,0.71875,0.96875,0.78125,0.46875,0.78125,0.59375,0.34375,0.96875,0.40625,0.15625,0.21875,0.09375,0.84375,0.28125,0.71875,0.90625,0.03125,0.89595391055
30,0.03125,0.53125,0.40625,0.21875,0.46875,0.28125,0.96875,0.28125,0.09375,0.84375,0.46875,0.90625,0.65625,0.71875,0.59375,0.34375,0.78125,0.21875,0.40625,0.53125,0.71998723721
31,0.046875,0.265625,0.609375,0.578125,0.703125,0.640625,0.265625,0.671875,0.578125,0.046875,0.203125,0.140625,0.359375,0.171875,0.109375,0.265625,0.859375,0.078125,0.953125,0.453125,0.86052428969
32,0.546875,0.765625,0.109375,0.078125,0.203125,0.140625,0.765625,0.171875,0.078125,0.546875,0.703125,0.640625,0.859375,0.671875,0.609375,0.765625,0.359375,0.578125,0.453125,0.953125,0.64965772597
33,0.796875,0.015625,0.359375,0.828125,0.453125,0.890625,0.515625,0.921875,0.828125,0.796875,0.453125,0.890625,0.109375,0.921875,0.359375,0.515625,0.109375,0.328125,0.203125,0.203125,0.93305065049
